id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
NGC541,21.434612,-1.379468,12.08,0.99,1.11,70,,PGC5305,,
NGC543,21.458355,-1.292779,15.00,0.62,2.50,90,,PGC5311,,
IC1701,21.460146,18.184311,15.30,0.65,1.67,95,,PGC5309,,
IC1702,21.484588,16.601842,14.50,0.72,1.61,175,,PGC5321,,
NGC545,21.496330,-1.340220,13.34,2.40,1.50,55,,PGC5323,,
NGC547,21.502587,-1.345120,13.34,1.69,1.39,120,,PGC5324,,
NGC548,21.510475,-1.225613,15.10,0.49,1.22,150,,PGC5326,,
IC112,21.512504,11.442966,14.20,0.59,1.56,135,,PGC5328,,
NGC531,21.578313,34.754079,14.90,0.65,1.73,25,,PGC5340,,
NGC536,21.590752,34.703074,13.20,1.46,2.50,85,,PGC5344,,
IC114,21.594180,9.909931,15.70,0.91,2.94,150,,PGC5343,,
IC1703,21.604689,-1.638644,14.48,0.72,1.47,135,,PGC5351,,
NGC557,21.604689,-1.638644,14.48,0.72,1.47,135,,PGC5351,,
NGC542,21.628498,34.675513,15.40,0.72,3.57,145,,PGC5360,,
NGC550,21.677302,2.022310,13.60,1.28,2.38,120,,PGC5374,,
IC115,21.726792,19.214497,15.20,0.55,1.11,145,,PGC5395,,
NGC567,21.760017,-10.265249,14.00,0.64,1.85,125,,PGC5402,,
NGC540,21.787108,-20.036590,15.71,0.42,1.43,10,,PGC5410,,
NGC554,21.790167,-22.725222,14.76,1.41,1.38,177,,,,
NGC555,21.799202,-22.762050,15.19,0.46,1.28,20,,PGC5419,,
NGC558,21.817380,-1.970922,15.00,0.48,1.73,115,,PGC5425,,
NGC560,21.855856,-1.913004,14.00,1.42,4.17,0,,PGC5430,,
IC1706,21.879075,14.819664,15.40,0.30,1.02,145,,PGC5433,,
NGC551,21.919302,37.182998,13.50,1.02,2.08,135,,PGC5450,,
NGC564,21.950825,-1.879423,13.80,0.88,1.22,135,,PGC5455,,
IC119,21.979176,-2.040448,15.00,0.81,2.17,75,,PGC5465,,
NGC568,21.987531,-35.717628,12.59,0.94,1.39,140,,PGC5468,,
NGC565,22.042470,-1.305994,14.50,1.03,3.33,35,,PGC5481,,
IC120,22.053992,-1.915515,15.20,0.65,2.78,140,,PGC5484,,
IC1709,21.987531,-35.717628,12.59,0.94,1.39,140,,PGC5468,,
NGC561,22.078212,34.308708,14.10,0.74,1.56,125,,PGC5489,,
IC121,22.090699,2.513001,14.30,0.70,1.47,105,,PGC5492,,
NGC562,22.122022,48.387109,14.50,0.71,1.22,60,,PGC5502,,
NGC572,22.151684,-39.307359,15.18,0.57,1.19,20,,PGC5508,,
IC123,22.214455,2.446437,15.21,0.46,1.51,40,,PGC5524,,
NGC576,22.240388,-51.598697,14.41,0.58,1.09,105,,PGC5535,,
NGC570,22.244326,-0.948971,14.20,0.83,1.22,110,,PGC5539,,
NGC566,22.262402,32.332266,14.60,0.83,2.50,0,,PGC5545,,
NGC574,22.262975,-35.598942,14.17,0.54,1.47,45,,PGC5544,,
NGC569,22.279816,11.131442,14.70,0.61,1.92,165,,PGC5548,,
IC125,22.326407,-13.279770,15.00,0.39,1.14,20,,PGC5560,,
NGC602,22.383888,-73.560593,13.02,3.2,1.10,90,,,,
NGC559,22.387000,63.301000,9.50,9.70,,,,,,
NGC583,22.434088,-18.339403,15.15,0.48,1.06,75,,PGC5576,,
IC127,22.448329,-6.980058,9.20,1.33,4.54,120,,PGC5581,,
IC126,22.449442,-1.983736,15.40,0.49,1.22,115,,PGC5577,,
