id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
101 Vir,214.368548,15.263380,5.80,M3III,HD125180,HIP69829,
A Boo,214.499239,35.509512,4.80,K0III,HD125351,HIP69879,
eta Aps,214.557900,-81.007758,4.89,A2mA7-F2,HD123998,HIP69896,
CS Vir,214.659377,-18.715963,5.90,ApSi(Cr),HD125248,HIP69929,
100 lam Vir,214.777469,-13.371091,4.52,A1V,HD125337,HIP69974,Kkhambaliya
18 Boo,214.817832,13.004301,5.40,F5IV,HD125451,HIP69989,
iot Lup,214.850922,-46.058094,3.53,B2.5IV,HD125238,HIP69996,
102 ups Vir,214.885332,-2.265516,5.14,G9IIICN-0.5,HD125454,HIP70012,
20 Boo,214.938480,16.306947,4.86,K3III,HD125560,HIP70027,
v Cen,215.081428,-56.386495,4.35,B5II,HD125288,HIP70069,
psi Cen,215.139301,-37.885293,4.03,A0IV,HD125473,HIP70090,
eps Aps,215.596519,-80.108946,5.05,B3V,HD124771,HIP70248,
a Cen,215.759329,-39.511819,4.42,B2V,HD125823,HIP70300,
51 k Hya,215.774058,-27.754017,4.75,K4III,HD125932,HIP70306,
2 Lib,215.856771,-11.714043,6.21,K0III,HD126035,HIP70336,
23 tet Boo,216.299154,51.850744,4.05,F7V,HD126660,HIP70497,Asellus Primus
tau01 Lup,216.534268,-45.221425,4.55,B2IV,HD126341,HIP70574,
tau02 Lup,216.545057,-45.379278,4.35,F7,HD126354,HIP70576,
22 f Boo,216.614021,19.226900,5.39,kA7hA8mF2(III)((Sr)),HD126661,HIP70602,
del Oct,216.730134,-83.667885,4.30,K2III,HD124882,HIP70638,
104 Vir,216.851603,-6.120344,6.16,A1V,HD126722,HIP70680,
5 UMi,216.881436,75.695994,4.24,K4-III,HD127700,HIP70692,
52 l Hya,217.043447,-29.491638,4.97,B7/8V,HD126769,HIP70753,
105 phi Vir,217.050579,-2.227958,4.84,G2IV,HD126868,HIP70755,
24 g Boo,217.157554,49.844850,5.59,G4III-IVFe-1,HD127243,HIP70791,
106 Vir,217.173843,-6.900527,5.42,K4/5III,HD126927,HIP70794,
25 rho Boo,217.957456,30.371437,3.59,K3-III,HD127665,HIP71053,
27 gam Boo,218.019466,38.308251,3.02,A7IV+(n),HD127762,HIP71075,Seginus
26 Boo,218.135592,22.260057,5.90,F2IV,HD127739,HIP71115,
sig Lup,218.154403,-50.457160,4.42,B1/B2V,HD127381,HIP71121,
28 sig Boo,218.670072,29.745127,4.47,F4VkF2mF1,HD128167,HIP71284,
eta Cen,218.876767,-42.157825,2.31,B2Ve,HD127972,HIP71352,
a Lup,219.333986,-46.133439,5.43,G8III,HD128266,HIP71500,
rho Lup,219.471776,-49.425828,4.05,B3/4V,HD128345,HIP71536,
33 Boo,219.709272,44.404502,5.39,A1V,HD129002,HIP71618,
alf Cen,219.902058,-60.833993,0.01,G2V,HD128620,HIP71683,Alpha Centauri
alf Cen,219.896096,-60.837528,1.33,K1V,HD128621,HIP71681,Proksima Kentavra
29 pi.01 Boo,220.181495,16.418327,4.89,B9IIIpHgMnSi,HD129174,HIP71762,
29 pi.02 Boo,220.183024,16.417798,5.76,A6V,HD129175,,
30 zet Boo,220.287334,13.728281,4.51,,HD129247,,
30 zet Boo,220.287116,13.728417,4.51,,HD129246,HIP71795,
31 Boo,220.411463,8.161765,4.86,G7IIIa,HD129312,HIP71832,
32 Boo,220.431335,11.660662,5.56,G8III,HD129336,HIP71837,
alf Lup,220.482316,-47.388199,2.29,B1.5III,HD129056,HIP71860,Men
b Cen,220.489961,-37.793495,4.00,B2.5V,HD129116,HIP71865,
alf Cir,220.626748,-64.975137,3.19,A7VpSrCrEu,HD128898,HIP71908,
107 mu. Vir,220.765095,-5.658204,3.88,F2V,HD129502,HIP71957,Rijl al Awwa
4 Lib,220.806464,-24.997753,5.73,A0IVe,HD129433,HIP71974,
34 W Boo,220.855679,26.527852,4.79,M3-III,HD129712,HIP71995,
c01 Cen,220.914323,-35.173669,4.04,K3IIIb,HD129456,HIP72010,
36 eps Boo,221.246457,27.074986,4.80,A0V,HD129988,HIP72105,Izar
36 eps Boo,221.246763,27.074207,2.45,K0-II-III,HD129989,,
c02 Cen,221.246673,-35.191829,4.92,A0IVnn,HD129685,HIP72104,
35 omi Boo,221.310252,16.964277,4.60,G8.5III,HD129972,HIP72125,
108 Vir,221.375852,0.717272,5.67,B9.5V,HD129956,HIP72154,
5 Lib,221.490660,-15.459545,6.34,K2III,HD129978,HIP72194,
54 m Hya,221.500333,-25.443177,4.94,F0VSr+G1V,HD129926,HIP72197,
109 Vir,221.562189,1.892885,3.73,A0IIInn,HD130109,HIP72220,
b Lup,221.755390,-52.383517,5.22,G8III,HD129893,HIP72290,
55 Hya,221.843982,-25.624267,5.61,B9IV/V,HD130158,HIP72323,
56 Hya,221.936693,-26.087501,5.23,G8/K0III,HD130259,HIP72357,
alf Aps,221.965467,-79.044751,3.80,K3IIICN0.5,HD129078,HIP72370,
57 Hya,221.989820,-26.646170,5.76,B9.5V,HD130274,HIP72378,
38 h Boo,222.327793,46.116204,5.76,F6IVs,HD130945,HIP72487,Merga
7 mu. Lib,222.329380,-14.149021,5.31,ApSrEuCr,HD130559,HIP72489,
39 Boo,222.422053,48.720808,8.30,F8V+F7V,HD131041,HIP72524,
58 E Hya,222.572118,-27.960361,4.41,K2.5IIIbFe-1:,HD130694,HIP72571,
8 alf01 Lib,222.671550,-15.997210,5.16,F3V,HD130819,HIP72603,
7 bet UMi,222.676357,74.155504,2.08,K4-III,HD131873,HIP72607,Kocab
9 alf02 Lib,222.719638,-16.041777,2.75,kA2hA5mA4IV-V,HD130841,HIP72622,Zuben Elgenubi
