idPNMain,PNGId,PNstat,id,alpha,delta,diamArcSeconds,diameter,axisRatio,posAngle,Catalogue,Common name,Caldwell-Messier
249,PN G012.6-02.7,T,M 1-45,275.78326,-19.28479,9,0.15,,,1992secg.book.....A,,
250,PN G013.0-04.3,T,Pe 2-14,277.49768,-19.67713,5.5,0.092,1.04,,1992secg.book.....A,,
251,PN G013.1+04.1,T,M 1-33,269.74496,-15.53744,4.8,0.08,,30,1992secg.book.....A,,
253,PN G013.3+32.7,T,Sn 1,245.26842,-0.26959,5.9,0.098,1.18,,1992secg.book.....A,,
255,PN G013.4-03.9,T,M 1-48,277.37497,-19.09572,4.8,0.08,,,1992secg.book.....A,,
256,PN G013.7-15.3,L,We 4-5,288.5465,-23.69,45,0.75,1.29,141,2001A&A...378..843K,,
257,PN G013.8-07.9,T,PC 21,281.39704,-20.58322,13.2,0.22,,,1992secg.book.....A,,
258,PN G013.8-02.8,T,SaWe 3,276.51533,-18.20958,110,1.833,1.38,133,1992secg.book.....A,,
259,PN G014.0-05.5,T,V-V 3-5,279.13475,-19.32422,10,0.167,1,,1992secg.book.....A,,
260,PN G014.2-07.3,T,M 3-31,281.00735,-19.91459,7,0.117,,,1992secg.book.....A,,
261,PN G014.3-05.5,T,V-V 3-6,279.2962,-19.03932,11.9,0.198,,,1992secg.book.....A,,
262,PN G014.4-06.1,T,SB 19,279.9169,-19.23668,10.7,0.178,1,,2001A&A...378..843K,,
263,PN G014.6-04.3,T,M 1-50,278.33704,-18.27691,5.6,0.093,,,1992secg.book.....A,,
263,PN G014.6-04.3,T,M 1-50,278.33704,-18.27691,4.2,0.07,1.08,,1992secg.book.....A,,
265,PN G014.9-03.1,T,SaSt 3-166,277.29694,-17.45358,13,0.217,,,1992secg.book.....A,,
266,PN G014.9+06.4,T,K 2-5,268.60971,-12.80944,52,0.867,,,1992secg.book.....A,,
267,PN G015.4-04.5,T,M 1-53,278.9514,-17.6023,6,0.1,1,,1992secg.book.....A,,
268,PN G015.6-03.0,T,Abell 44,277.545,-16.7557,67,1.117,1.43,131,1992secg.book.....A,,
269,PN G015.9+03.3,T,M 1-39,271.8779,-13.47989,5,0.083,,80,1992secg.book.....A,,
270,PN G016.0+13.5,T,Abell 42,262.87112,-8.31949,60,1,1,,1992secg.book.....A,,
271,PN G016.0-04.3,T,M 1-54,279.03482,-16.99917,16.5,0.275,,104,1992secg.book.....A,,
272,PN G016.1-04.7,T,M 1-56,279.44272,-17.09626,10,0.167,,,1992secg.book.....A,,
273,PN G016.4-01.9,T,M 1-46,276.98474,-15.54845,12.1,0.202,1.07,,1992secg.book.....A,,
274,PN G016.7-07.3,L,SB 22,282.12668,-17.73188,7.8,0.13,1,,2001A&A...378..843K,,
275,PN G016.9-02.0,T,Sa 3-134,277.33261,-15.12777,10.8,0.18,,,1992secg.book.....A,,
276,PN G017.0+11.1,T,GLMP 621,265.56012,-8.72184,13,0.217,1,,2001A&A...378..843K,,
277,PN G017.3-21.9,T,Abell 65,296.64254,-23.13697,152,2.533,1.77,,1992secg.book.....A,,
279,PN G017.6-01.1,T,VSP 2-18,276.80579,-14.14294,12.4,0.207,,,2001A&A...378..843K,,
280,PN G017.6-10.2,T,Abell 51,285.25579,-18.20431,59.2,0.987,1,,1992secg.book.....A,,
281,PN G017.7-02.9,T,M 1-52,278.49393,-14.87362,6.6,0.11,,,1992secg.book.....A,,
282,PN G017.9-04.8,T,M 3-30,280.312,-15.5615,19.1,0.318,1.04,,1992secg.book.....A,,
