No,id,alpha,delta,diameter,Area,Common name
413,FeSt 1-413,246.1738,-23.1141,73.67,1.184,
414,FeSt 1-414,247.9044,-23.8898,32.4,0.229,
415,FeSt 1-415,264.6563,-34.5279,23.35,0.119,
416,FeSt 1-416,258.5034,-30.8574,16.58,0.06,
417,FeSt 1-417,268.9193,-36.174,28.16,0.173,
418,FeSt 1-418,249.4582,-24.3494,68.61,1.027,
419,FeSt 1-419,248.6039,-23.6866,67.47,0.993,
420,FeSt 1-420,257.4446,-29.5791,27.08,0.16,
421,FeSt 1-421,261.7887,-32.1584,45.52,0.452,
422,FeSt 1-422,247.6955,-22.2407,25.78,0.145,
423,FeSt 1-423,251.3838,-24.1906,58.79,0.754,
424,FeSt 1-424,257.8879,-28.4603,31.03,0.21,
425,FeSt 1-425,248.9456,-22.0851,16.58,0.06,
426,FeSt 1-426,249.6213,-22.1153,55.25,0.666,
427,FeSt 1-427,249.998,-22.3803,18.54,0.075,
428,FeSt 1-428,252.3316,-23.6863,72.89,1.159,
429,FeSt 1-429,260.417,-28.8983,32.4,0.229,
430,FeSt 1-430,268.1468,-33.061,241.17,12.689,
431,FeSt 1-431,263.8301,-30.7319,496.03,53.679,
432,FeSt 1-432,254.3384,-24.6603,35.82,0.28,
433,FeSt 1-433,258.5063,-27.3073,64.16,0.898,
434,FeSt 1-434,261.2176,-28.9444,115.21,2.896,
435,FeSt 1-435,267.0628,-31.7662,55.5,0.672,
436,FeSt 1-436,261.4147,-28.4601,148.53,4.813,
437,FeSt 1-437,251.1442,-21.525,46.02,0.462,
438,FeSt 1-438,254.3311,-23.3603,62.01,0.839,
439,FeSt 1-439,251.5931,-21.273,47.1,0.484,
440,FeSt 1-440,258.4728,-25.8908,26.05,0.148,
441,FeSt 1-441,269.6138,-31.8705,28.64,0.179,
442,FeSt 1-442,261.3811,-27.0603,107.2,2.507,
443,FeSt 1-443,257.9916,-24.8598,53.01,0.613,
444,FeSt 1-444,269.7591,-31.1531,31.97,0.223,
445,FeSt 1-445,285.2453,-37.1954,23.06,0.116,
446,FeSt 1-446,285.9451,-37.2588,47.1,0.484,SL 39
447,FeSt 1-447,285.6939,-37.06,33.1,0.239,SL 40 | S 41
448,FeSt 1-448,259.5921,-24.8188,103.5,2.337,
449,FeSt 1-449,271.0333,-31.0303,27.33,0.163,
450,FeSt 1-450,286.6176,-37.0057,17.39,0.066,
451,FeSt 1-451,263.4816,-27.0168,41.4,0.374,
452,FeSt 1-452,256.7529,-22.5489,62.46,0.851,
453,FeSt 1-453,289.0639,-36.861,32.61,0.232,
454,FeSt 1-454,263.0991,-25.7853,90.53,1.788,
455,FeSt 1-455,262.3951,-25.1554,86.7,1.64,
456,FeSt 1-456,258.5541,-22.607,51.2,0.572,
457,FeSt 1-457,263.773,-25.5654,122.26,3.261,
458,FeSt 1-458,273.4046,-30.5021,27.33,0.163,
