id,alpha,delta,diameter,majAxis,minAxis,axisRatio,posAngle,Other names,,Type,Source,
IREC 149,327.5625,76.55111,217,217,217,1,,[DB2002b] G112.96+17.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
FeSt 1-51,127.6375,-42.6025,216,216,216,1,,[DB2002b] G260.97-1.96,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 203,101.54583,70.36389,214,214,214,1,,[DB2002b] G144.69+25,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
FeSt 1-430,268.14583,-33.06083,214,214,214,1,,[DB2002b] G357.23-3.4,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1769,265.55,-30.02333,212,212,212,1,,[DB2002b] G358.68+0.06,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 025+35,248.15,9.26139,210,210,210,1,,[DB2002b] G25+35,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 087+29,271.775,57.87139,210,210,210,1,,[DB2002b] G86.5+28.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
HSVMT 19,83.1,65.21917,210,210,210,1,,[DB2002b] G146.34+17.21,,DARK_NEBULA,Dutra and Bica (2002b),
CODIR 155.1-34,41.22083,21.69,210,210,210,1,,[DB2002b] G155.1-34,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DIR 179-49,45.84583,-1.04333,210,210,210,1,,[DB2002b] G179-49,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
3C105.0 Direction Cloud,61.88333,3.65,210,210,210,1,,[DB2002b] G187.7-33.6,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DBDN 191.2-38.4,59.59583,-1.43139,210,210,210,1,,[DB2002b] G191.2-38.4,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 289-53,30.91667,-62.13083,210,210,210,1,,[DB2002b] G289-53,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 1373,39.45417,61.21639,208,208,208,1,,[DB2002b] G135.38+0.94,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 278,117.76667,29.25833,208,208,208,1,,[DB2002b] G191.4+25,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 077-37,336.52083,12.4425,200,200,200,1,,[DB2002b] G76.5-37,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
CODIR 186-32,62.41667,5.61639,200,200,200,1,,[DB2002b] G186.2-32,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
BDN 352.97+16.95,246.50417,-24.44583,200,200,200,1,,[DB2002b] G352.97+16.95,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1107,329.1875,54.48833,199,199,199,1,,[DB2002b] G99.29-0.16,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 1306,15.77917,62.26833,199,199,199,1,,[DB2002b] G124.29-0.57,,DARK_NEBULA,Dutra and Bica (2002b),
DBDN 43.7-23.6,308.62083,-1.72139,195,195,195,1,,[DB2002b] G43.71-23.6,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 405,275.69583,-11.47389,194,194,194,1,,[DB2002b] G19.47+1.03,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 254,94.7,41.55278,193,193,193,1,,[DB2002b] G172.16+12,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DBDN 290.4-44.9,38.85833,-69.52528,193,193,193,1,,[DB2002b] G290.41-44.99,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 246,266.2375,-19.52,190,190,190,1,,[DB2002b] G7.98+5.02,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 025+41,242.675,11.91528,190,190,190,1,,[DB2002b] G25+41,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 590,286.65417,-3.005,190,190,190,1,,[DB2002b] G31.98-4.75,,DARK_NEBULA,Dutra and Bica (2002b),
