alpha,delta,GName,diameter,id
282.43625,0.606944,032.2+00.1,0.4,PBD 408
282.842083,0.253333,032.7-00.1,12.4,PBD 409
282.620833,0.0275,032.8+00.2,2.5,PBD 410
282.844583,0.029722,032.9+00.0,7.1,PBD 411
282.310417,0.243611,032.9+00.6,0.3,PBD 412
283.024583,0.1025,033.1-00.1,7,PBD 413
282.98125,0.236944,033.2-00.0,3,PBD 414
283.0725,0.415,033.4-00.0,2.4,PBD 415
283.209167,0.681944,033.7+00.0,6.2,PBD 416
283.211667,0.905556,033.9+00.1,3.8,PBD 417
282.946667,1.266111,034.1+00.5,0.9,PBD 418
283.39375,1.261667,034.3+00.1,1.7,PBD 419
283.305,1.307222,034.3+00.2,3.5,PBD 420
284.553333,0.892222,034.5-01.1,8.1,PBD 421
284.59875,0.981111,034.6-01.1,8,PBD 422
284.3775,1.206944,034.7-00.8,1.2,PBD 423
284.199583,1.298333,034.7-00.6,11.9,PBD 424
284.110417,1.343889,034.7-00.5,3.5,PBD 425
284.334167,1.341667,034.8-00.7,2.3,PBD 426
283.978333,1.524167,034.8-00.3,1.6,PBD 427
283.756667,1.75,034.9-00.0,4.4,PBD 428
284.2475,1.610833,035.0-00.5,1.1,PBD 429
285.182917,1.243056,035.1-01.5,6.2,PBD 430
285.495833,1.195,035.2-01.8,1.3,PBD 431
285.406667,1.240556,035.2-01.7,1.4,PBD 432
284.961667,1.469167,035.2-01.2,3,PBD 433
282.91375,2.518611,035.2+01.1,3.3,PBD 434
285.54125,1.283889,035.3-01.8,4.4,PBD 435
283.226667,2.470833,035.3+00.8,17.3,PBD 436
285.587083,1.372778,035.4-01.8,1.1,PBD 437
284.742917,1.918611,035.5-00.8,14.3,PBD 438
284.521667,2.144722,035.6-00.5,6.2,PBD 439
284.07625,2.372778,035.6-00.0,9,PBD 440
283.987083,2.418611,035.6+00.1,2.2,PBD 441
284.122083,2.461944,035.7-00.0,4.8,PBD 442
284.0375,2.954722,036.1+00.3,0.4,PBD 443
285.909583,2.218611,036.3-01.7,8.2,PBD 444
285.820833,2.264167,036.3-01.6,1.9,PBD 445
283.7725,3.315,036.3+00.7,3.7,PBD 446
286.044583,2.261667,036.4-01.8,3.6,PBD 447
285.866667,2.353056,036.4-01.6,17.2,PBD 448
284.665833,3.082222,036.5-00.2,3.7,PBD 449
284.576667,3.128056,036.5-00.1,0.4,PBD 450
284.803333,3.349167,036.8-00.2,1.2,PBD 451
284.225,3.757778,036.9+00.5,4.3,PBD 452
284.894583,3.526944,037.0-00.2,14,PBD 453
285.164583,3.613333,037.2-00.4,0.4,PBD 454
284.31875,4.159167,037.3+00.6,1.3,PBD 455
285.077917,3.882778,037.4-00.2,1.3,PBD 456
284.98875,3.928333,037.4-00.1,5.4,PBD 457
284.899583,3.974167,037.4-00.0,5.4,PBD 458
285.034583,4.0175,037.5-00.1,8,PBD 459
284.1425,4.474167,037.5+00.9,14.8,PBD 460
285.080417,4.106389,037.6-00.1,4.8,PBD 461
283.6525,4.836667,037.6+01.5,0.4,PBD 462
285.12625,4.195278,037.7-00.1,1.2,PBD 463
284.947917,4.286667,037.7+00.1,6,PBD 464
242.739583,21.889722,037.7+44.6,17.9,PBD 465
285.350417,4.192778,037.8-00.3,9.2,PBD 466
285.26125,4.238333,037.8-00.2,1.7,PBD 467
285.485417,4.235833,037.9-00.4,2.6,PBD 468
285.39625,4.281667,037.9-00.3,2.1,PBD 469
285.31,4.550833,038.1-00.1,15.4,PBD 470
285.220833,4.596667,038.1-00.0,0.9,PBD 471
283.927083,5.370556,038.2+01.5,6,PBD 472
285.401667,4.728889,038.3-00.1,2.7,PBD 473
285.3125,4.774444,038.3+00.0,0.4,PBD 474
284.912083,5.092222,038.4+00.5,1.3,PBD 475
284.197083,5.457222,038.4+01.3,10,PBD 476
285.861667,5.617778,039.3-00.1,2.2,PBD 477
285.772083,5.663611,039.3-00.0,2,PBD 478
287.335,4.971389,039.4-01.7,5,PBD 479
285.4175,6.070278,039.5+00.5,12.4,PBD 480
288.050833,4.826111,039.6-02.4,30,PBD 481
287.516667,5.102778,039.6-01.8,58.1,PBD 482
285.999583,5.884444,039.6-00.1,0.4,PBD 483
285.374167,6.205,039.6+00.6,1.1,PBD 484
288.007917,4.960833,039.7-02.3,0.4,PBD 485
287.744583,5.322778,039.9-01.9,7.1,PBD 486
287.29875,5.553333,039.9-01.4,14.7,PBD 487
287.209583,5.599444,039.9-01.3,5.9,PBD 488
287.120417,5.645278,039.9-01.2,2,PBD 489
