N,id,alpha,delta,magU,magB,magV,magR,magI,Spectral_type,diameter,minAxis,posAngle,axisRatio,Notes,Common name,Other name
1593,PN G356.0-01.4,265.3892,-33.0375,,,,,,,0.13,0.12,0,1.08333333333333,,,
1594,PN G355.2-02.0,265.4963,-34.0928,,,,,,,0.11,0.11,0,1,,,
1595,PN G002.6+02.3,265.7171,-25.4286,,,,,,,0.19,0.16,0,1.1875,,,
1596,PN G356.0-01.8,265.78,-33.265,,,,,,,0.08,0.08,0,1,,,
1597,PN G352.2-04.3,265.9542,-37.8303,,,,,,,0.62,0.57,0,1.08771929824561,,,
1598,PN G004.9+03.4,266.0708,-22.9164,,,,,,,0.28,0.28,0,1,,,
1599,PN G355.6-02.3,266.11629,-33.92231,,,,,,,0.95,0.42,0,2.26190476190476,,,
1600,PN G002.3+01.7,266.1475,-26.06,,,,,,,0.17,0.13,0,1.30769230769231,,,
1601,PN G004.0+02.6,266.1929,-24.1164,,,,,,,0.32,0.3,0,1.06666666666667,,,
1602,PN G002.7+01.7,266.3288,-25.7014,,,,,,,0.12,0.12,0,1,,,
1603,PN G353.8-03.7,266.3842,-36.1658,,,,,,,0.7,0.37,0,1.89189189189189,,,
1604,PPA J1746-3454,266.71420024795,-34.90155294572,,,,,,,0.13,0.1,0,1.3,,,
1605,PN G002.4+01.1,266.7167,-26.1972,,,,,,,0.6,0.22,0,2.72727272727273,,,
1606,PN G352.8-04.6,266.74871,-37.42669,,,,,,,0.27,0.22,0,1.22727272727273,,,
1607,PN G356.1-02.7,266.77,-33.6842,,,,,,,0.1,0.07,0,1.42857142857143,,,
1608,PPA J1747-3435,266.7846,-34.5953,,,,,,O(H),0.34,0.25,0,1.36,,,
1609,PN G357.3-02.0,266.86954,-32.26281,,,,,,,0.07,0.07,0,1,,,
1610,PHR J1747-2311,266.8779,-23.1969,,,,,,,0.38,0.28,0,1.35714285714286,,,
1611,PN G352.2-05.1,266.9163,-38.1953,,,,,,,0.2,0.2,0,1,,,
1612,PN G007.7+03.9,267.1142,-20.2753,,,,,,,0.18,0.18,0,1,,,
1613,PN G004.3+01.8 a,267.1375,-24.2933,,,,,,,0.23,0.22,0,1.04545454545455,,,
1614,PHR J1748-3844,267.1879,-38.7372,,,,,,,0.35,0.28,0,1.25,,,
1615,PN G005.0+02.2,267.1917,-23.4408,,,,,,,0.22,0.13,0,1.69230769230769,,,
