alpha,delta,id,diameter,minAxis,posAngle,Dist kpc,Size pc,axisRatio
274.28466806,-8.26326694,PGCC G21.65+3.77,7.62645,4.37591,0.49326,,,0.574
238.310135,-3.01249194,PGCC G5.70+36.84,12.4861,4.54523,-0.039484,,,0.364
80.22242694,-5.82300306,PGCC G207.69-22.77,,,,,,
165.91279611,-77.99812306,PGCC G297.30-16.32,12.3043,3.79838,0.631026,0.17,0.338067,0.309
252.32495111,-14.16164,PGCC G5.02+19.08,8.19873,6.03959,-0.069527,0.12,0.245632,0.737
7.122175,56.776035,PGCC G119.78-5.95,8.68008,4.11548,0.607569,,,0.474
331.41278111,41.92389694,PGCC G92.81-11.05,9.04268,6.58642,-1.49216,0.41,0.920415,0.728
79.44818889,7.43626389,PGCC G194.98-16.96,8.00166,6.05184,-0.94336,0.4,0.809693,0.756
331.20889306,42.62099111,PGCC G93.12-10.40,6.7253,6.39294,-1.41789,0.235505,0.449193,0.951
359.18432611,58.56162306,PGCC G115.83-3.55,7.8616,5.414,-0.921515,0.48,0.910924,0.689
117.96481306,-33.24367889,PGCC G248.96-3.21,7.29966,5.27848,-1.32665,0.91,1.64314,0.723
68.41277306,18.20842611,PGCC G179.20-19.62,11.6886,5.71553,-1.17098,0.311889,0.741544,0.489
257.12521389,-22.88955889,PGCC G0.44+10.29,7.49657,4.63592,0.480794,0.12,0.205782,0.618
315.43176306,67.73114806,PGCC G103.72+13.91,6.78837,6.1272,0.817287,,,0.903
